File, Line, Severity, Id, Summary
LGSecurity\MFCApplication1\MFCApplication1.cpp,17,error,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If BEGIN_MESSAGE_MAP is a macro then please configure it.
LGSecurity\MFCApplication1\MFCApplication1Dlg.cpp,47,error,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If BEGIN_MESSAGE_MAP is a macro then please configure it.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,11,warning,noCopyConstructor,Class 'NetworkManager' does not have a copy constructor which is recommended since it has dynamic memory/resource allocation(s).
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,11,warning,noOperatorEq,Class 'NetworkManager' does not have a operator= which is recommended since it has dynamic memory/resource allocation(s).
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,92,performance,passedByValue,Function parameter 'ip' should be passed by const reference.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,87,style,unusedFunction,The function 'closeTCPConnection' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,97,style,unusedFunction,The function 'getIPAdress' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,69,style,unusedFunction,The function 'getMode' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,102,style,unusedFunction,The function 'get_a_packet' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,64,style,unusedFunction,The function 'isAdmin' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,59,style,unusedFunction,The function 'isSecure' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,20,style,unusedFunction,The function 'openTcpConnection' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,74,style,unusedFunction,The function 'requestType' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,79,style,unusedFunction,The function 'resetStatus' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,193,style,unusedFunction,The function 'send_packet' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,92,style,unusedFunction,The function 'setIPAdress' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,49,style,unusedFunction,The function 'setMode' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,54,style,unusedFunction,The function 'setRequestType' is never used.
LGSecurity\MFCApplication1\Common\NetworkManager.cpp,39,style,unusedFunction,The function 'setSecureMode' is never used.
